,created_at,user_id,username,tweet,english
0,2021-04-30 06:30:04 SE Asia Standard Time,2787255180,aditiya_gozal18,"@Telkomsel harga paket nambah mahal, jaringan no service terus","@Telkomsel add the package price is expensive, no service network continues"
1,2021-04-29 22:49:26 SE Asia Standard Time,1323101365011312640,poeqoeh_,"Perdana telkomsel simPATI, aktif jaringan tinggal pake' aja.  0821 3200 9300 0821 3200 3900 0821 3200 3600 0821 3200 7700 0821 3200 3800 0821 3200 5400 0821 3200 5600  INFO HARGA DAN PEMESANAN Telegram  https://t.co/H5oCUsmF7T  Wassap  https://t.co/KfwvFBB6mQ Bisa DM juga.  https://t.co/Yrue18E8X0","Prime telkomsel simPATI, stay active network use 'wrote. 0821 3200 9300 0821 3200 3900 0821 3200 3600 0821 3200 7700 0821 3200 3800 0821 3200 5400 0821 3200 5600 INFO PRICES AND RESERVATION Telegram https://t.co/H5oCUsmF7T Wassap Can https://t.co/KfwvFBB6mQ DM as well. https://t.co/Yrue18E8X0"
2,2021-04-29 22:21:17 SE Asia Standard Time,1240650100537344001,payoung02,"@kegblgnunfaedh Halo kak! Sorry nitip yaa^^  Barangkali ada yang minat kuota murah bisa nih beli ke @seoqjin_!  ♡ Harga murah ♡ Trusted ♡ Sedia all operator!  Kalo mau liat harga operator lain bisa dm langsung aja yaa!   t. Jual kuota indosat, xl, telkomsel, murah.  https://t.co/q60Xwrobr4","@kegblgnunfaedh Halo kak! Sorry nitip yaa ^^ Perhaps someone's interest quota can buy to @seoqjin_ ya! Cheap prices Trusted ♡ ♡ ♡ Sedia all operators! If want to see the price of other operators can direct dm aja yaa! t. Sell ​​quotas Indosat, XL, Telkomsel, cheap. https://t.co/q60Xwrobr4"
3,2021-04-29 21:45:28 SE Asia Standard Time,1240650100537344001,payoung02,"@kristoimmanuel Halo kak! Sorry nitip yaa^^  Barangkali ada yang minat kuota murah bisa nih beli ke @seoqjin_!  ♡ Harga murah ♡ Trusted ♡ Sedia all operator!  Kalo mau liat harga operator lain bisa dm langsung aja yaa!   t. Jual kuota indosat, xl, telkomsel, murah.  https://t.co/q60Xwrobr4","@kristoimmanuel Halo kak! Sorry nitip yaa ^^ Perhaps someone's interest quota can buy to @seoqjin_ ya! Cheap prices Trusted ♡ ♡ ♡ Sedia all operators! If want to see the price of other operators can direct dm aja yaa! t. Sell ​​quotas Indosat, XL, Telkomsel, cheap. https://t.co/q60Xwrobr4"
4,2021-04-29 21:45:01 SE Asia Standard Time,1240650100537344001,payoung02,"@andihiyat Halo kak! Sorry nitip yaa^^  Barangkali ada yang minat kuota murah bisa nih beli ke @seoqjin_!  ♡ Harga murah ♡ Trusted ♡ Sedia all operator!  Kalo mau liat harga operator lain bisa dm langsung aja yaa!   t. Jual kuota indosat, xl, telkomsel, murah.  https://t.co/q60Xwrobr4","@andihiyat Halo kak! Sorry nitip yaa ^^ Perhaps someone's interest quota can buy to @seoqjin_ ya! Cheap prices Trusted ♡ ♡ ♡ Sedia all operators! If want to see the price of other operators can direct dm aja yaa! t. Sell ​​quotas Indosat, XL, Telkomsel, cheap. https://t.co/q60Xwrobr4"
5,2021-04-29 21:30:09 SE Asia Standard Time,1127701444964958208,boncabeteri,zuzur pgn upgrade limit kartuhalo aku 😔 gabisa dipake apa apa karena mentok harga paket kuota yg kuotanya ga kepake 😔 mana promo telkomsel banyak 😔,zuzur pgn upgrade kartuHALO I 😔 gabisa limit dipake anything because the price fixed quota package that quota ga 😔 kepake where promo telkomsel many 😔
6,2021-04-29 20:34:26 SE Asia Standard Time,1240650100537344001,payoung02,"@radenrauf Halo kak! Sorry nitip yaa^^  Barangkali ada yang minat kuota murah bisa nih beli ke @seoqjin_!  ♡ Harga murah ♡ Trusted ♡ Sedia all operator!  Kalo mau liat harga operator lain bisa dm langsung aja yaa!   t. Jual kuota indosat, xl, telkomsel, murah.  https://t.co/q60XwrFMPE","@radenrauf Halo kak! Sorry nitip yaa ^^ Perhaps someone's interest quota can buy to @seoqjin_ ya! Cheap prices Trusted ♡ ♡ ♡ Sedia all operators! If want to see the price of other operators can direct dm aja yaa! t. Sell ​​quotas Indosat, XL, Telkomsel, cheap. https://t.co/q60XwrFMPE"
7,2021-04-29 20:15:42 SE Asia Standard Time,80737068,robsuit,@Telkomsel  jaringan butut.. harga lebih mahal jaringan lbh lelet.. tinggalkan telkomsel..,@Telkomsel battered network .. higher prices slow lbh network .. leave telkomsel ..
8,2021-04-29 19:55:45 SE Asia Standard Time,1342509075263733761,sporttiaphari,"Telkomsel sendiri sudah banyak menggandeng platform OTT di Indonesia melalui MAXstream, seperti Disney+ Hotstar, Mola TV, HBO GO, Vidio, Viu, Lionsgate Play, dll.  Tentu saja user Telkomsel mendapat advantage lebih dari kerja sama tersebut, berupa harga paket yang lebih murah.","Telkomsel itself has a lot of holding OTT platform in Indonesia through MAXstream, like Disney + Hotstar, Mola TV, HBO GO, Video, Viu, Lionsgate Play, etc. Of course, Telkomsel user gets more advantage from such cooperation, in the form of the package price is cheaper."
9,2021-04-29 19:30:02 SE Asia Standard Time,1002093935798378496,hsshnv,@NetflixID @TelkomIndonesia @Telkomsel @IndiHome Turunkan harga netflix yey,@NetflixID @TelkomIndonesia @Telkomsel @IndiHome Lower prices yey netflix
10,2021-04-29 19:13:39 SE Asia Standard Time,34537216,sir_amirsyarif,Sip! Harga paketan @TelkomIndonesia @Telkomsel @IndiHome x @NetflixID segera menyusul.,OK! Price paketan @TelkomIndonesia @Telkomsel @IndiHome x @NetflixID soon follow.
11,2021-04-29 19:11:43 SE Asia Standard Time,62466261,yellowoctopuz,"@NetflixID @TelkomIndonesia @Telkomsel @IndiHome Ada rencana turun harga ga, min? 😂","@NetflixID @TelkomIndonesia @Telkomsel @IndiHome There are plans down the price of ga, min? 😂"
12,2021-04-29 19:05:16 SE Asia Standard Time,1169550778136059904,urcutestbbygrl,"@NetflixID @TelkomIndonesia @Telkomsel @IndiHome HARGA NETFLIX TURUN, BISA BAYAR PAKE TELKOMSEL","@NetflixID @TelkomIndonesia @Telkomsel @IndiHome Netflix PRICE DOWN, CAN PAY Pake TELKOMSEL"
13,2021-04-29 19:04:46 SE Asia Standard Time,1169550778136059904,urcutestbbygrl,@NetflixID @TelkomIndonesia @Telkomsel @IndiHome OHH MAU NURUNIN HARGA NETFLIX YA KAK,OHH @IndiHome @TelkomIndonesia @NetflixID @Telkomsel nurunin PRICE WILL YA KAK Netflix
14,2021-04-29 18:51:55 SE Asia Standard Time,1015301029804380160,febrythic,Jual Kuota Tsel Murah  🎟️Tersedia Kuota telkomsel simpati as harga under aplikasi murce banget  Fast proses via gift✅ Menambah masa aktif 30 hari✅ Bonus kuota Disney + hotstar✅  Harga paket di setiap nomor berbeda ya Harus cek nomor dulu untuk liat harga!  #zonauang #zonaba  https://t.co/hed2HQEm3F,Sell ​​Offers 🎟️Tersedia Quota Quota Tsel telkomsel sympathy as the price under very Fast murce application process via gift✅ Adding active period of 30 hari✅ Bonus + Disney hotstar✅ quota price in any number of different packages yes Must check number used to tough price! #zonauang #zonaba https://t.co/hed2HQEm3F
15,2021-04-29 18:44:23 SE Asia Standard Time,1240650100537344001,payoung02,"@akgmntenk Halo kak! Sorry nitip yaa^^  Barangkali ada yang minat kuota murah bisa nih beli ke @seoqjin_!  ♡ Harga murah ♡ Trusted ♡ Sedia all operator!  Kalo mau liat harga operator lain bisa dm langsung aja yaa!   t. Jual kuota indosat, xl, telkomsel, murah.  https://t.co/q60Xwrobr4","@akgmntenk Halo kak! Sorry nitip yaa ^^ Perhaps someone's interest quota can buy to @seoqjin_ ya! Cheap prices Trusted ♡ ♡ ♡ Sedia all operators! If want to see the price of other operators can direct dm aja yaa! t. Sell ​​quotas Indosat, XL, Telkomsel, cheap. https://t.co/q60Xwrobr4"
