,created_at,user_id,username,tweet,english
0,2021-01-31 05:43:00 SE Asia Standard Time,1165294218,popoeet,@SaipulSG8 @Telkomsel Mw pake 2 kartu yg internet beli provider lain cz udah ganggu banget telkomsel aq sdh 4 bln ky gni,@ SaipulSG8 @Telkomsel Mw 2 cards that use the internet to buy another provider Telkomsel cz've really bother SDH 4 bln aq ky gni
1,2021-01-31 04:12:33 SE Asia Standard Time,1439726466,nazar_vcc,"Admin @Telkomsel Gambar pertama adalah kecepatan Internet di tempat saya Sekarang tetapi di Siang Hari hanya dapat 1 Mbps sedangkan beranjak ke malam hari untuk kirim gambar di WhatsApp saja pending apalagi buka Youtube, Maksud saya bisakah kecepatan 15,5 Mbps ini berlaku 24 Jam.  https://t.co/Jvlo2jpRFT","Admin @Telkomsel first image is the speed of the Internet in my place now However Daytime only 1 Mbps while moving to the evening to send images in WhatsApp Any pending let alone go to Youtube, I mean speed of 15.5 Mbps can apply 24 Hours. https://t.co/Jvlo2jpRFT"
2,2021-01-31 00:08:26 SE Asia Standard Time,840756228,emperdana,"@Telkomsel Iyanih bg, tiap jam 00.00 internet mati beberapa detik, selalu tiap hari kaya gini. Menggangu aktivitas saya","@Telkomsel Iyanih bg, internet die every 00.00 seconds, always rich gini every day. Interfere with my activities"
3,2021-01-31 00:08:18 SE Asia Standard Time,263411158,ilyasmidzi,"@Telkomsel Okee. Saya pengguna kartu halo, tiap bulannya dpt kuota internet &amp; kuota hiburan/entertainment. Biasanya kalo streaming pake aplikasi maxstream kuota yg kepake itu kuota hiburan, tapi kali ini yg kepake kuota internet. Pertanyaannya, maxstream msh pake kuota hiburan atau nggak?","@Telkomsel Okee. Hello my card users, monthly quota collapsible internet & amp; quota amusement / entertainment. Usually when streaming maxstream quota applications that use the quota kepake entertainment, but this time that kepake internet quota. The question is, maxstream msh use entertainment quota or not?"
4,2021-01-31 00:02:19 SE Asia Standard Time,263411158,ilyasmidzi,"Boss @Telkomsel, sekarang streaming maxstream gak pake kuota hiburan lagi ya? Kuota internet jebol.","Boss @Telkomsel, now streaming entertainment maxstream not use quotas again huh? Internet quota broken."
5,2021-01-30 22:25:45 SE Asia Standard Time,192247121,dikoktara,"Halo @Telkomsel, kenapa sinyal internet kalian udah beberapa minggu ini suka tiba-tiba berubah ke 3G, tiba-tiba balik ke LTE?  Saya search di Twitter, yang mengeluhkan soal ini bukan cuma saya. Tolonglah diperbaiki atau setidaknya beri penjelasan ke pelanggan.","Hello @Telkomsel why your internet signal is already a few weeks like a sudden change to 3G, suddenly turning to LTE? I search on Twitter, who complain about this is not just me. Help repaired or at least give an explanation to the customer."
6,2021-01-30 22:17:36 SE Asia Standard Time,504006390,muhammadrobbah,"@myXL kemaren di tlphon cs untu xl prioritas nyatanya sama lemooot dan kuota cepet banget habisnya. saya pakai sudah bertahun tahun, sangat kecewa dan malam ini saya pindah ke telkomsel @Telkomsel untuk paket internet","cs tlphon @myXL untu yesterday in fact the same priority xl lemooot and quota cepet really endless. I use already for many years, very disappointed and this evening I moved to telkomsel @Telkomsel for internet packages"
7,2021-01-30 21:46:18 SE Asia Standard Time,106943947,mecmersia,Internet telkomsel hari ini buruknya exponential,Telkomsel's Internet bad day exponential
8,2021-01-30 21:40:31 SE Asia Standard Time,100120964,yetyzulian,"@DythaPuspita Sama dit 🤣 Gue jg klo buat internetan pengen kenceng pake telkomsel. M3 lemot bgt. M3 gue jg udh buat mbanking, ovo, aplikasi gojek dll jd kudu aktif lg. Waktu tu gue ambil paketan internet yg paling murah. Klo gasalah freedom M. Lumayan buat wasapan. Sekalian biar aktif aja.","Same @DythaPuspita dit 🤣 Gue jg klo want kenceng make use telkomsel surf. M3 slow bgt. M3 I jg udh for mBanking, OVO, applications gojek etc. lg jd active kudu. Tu time that I take the most inexpensive internet paketan. Klo gasalah M. bad for wasapan freedom. Let all active wrote."
9,2021-01-30 21:07:23 SE Asia Standard Time,1059575969353162753,pao_kun11,"@atrash88 @spent_with_u @Topanesta telkomsel paling bagus sekarang dah merata, kalo pake game emang ping langsung jadi merah kalo talkomsel makanya saya pake Axis buat game telkomsel buat internet","@ Atrash88 @spent_with_u telkomsel @Topanesta best right now dah evenly, if using direct ping game weve turned red if talkomsel so I use Axis for telkomsel for internet gaming"
