Unnamed: 0,created_at,user_id,username,tweet,english
0,2021-02-28 06:39:40 SE Asia Standard Time,1331794422468493312,mobilseva,Ini dia paketan internet termurah dari telkomsel  https://t.co/ezAqd5IZis #telkomsel #paketinternet #paketharian #pakettermurah,Here it is the cheapest internet paketan telkomsel #telkomsel https://t.co/ezAqd5IZis #paketinternet #paketharian #pakettermurah
1,2021-02-28 05:05:28 SE Asia Standard Time,1281247682997055488,botpulsa,"Paket Internet Telkomsel memang memiliki banyak varian, mulai dari Data Flash, Data Bulk, Data OMG, Data Combo Sakti, Surprise Deal, hingga Data Tiktok atau Youtube!   https://t.co/d3JKqPMAVR","Internet package Telkomsel has many variants, ranging from Data Flash, Bulk Data, Data OMG, Data Combo Way, Surprise Deal, until Data Tiktok or Youtube! https://t.co/d3JKqPMAVR"
2,2021-02-28 03:22:35 SE Asia Standard Time,3528220158,kimkeism,"@telkomsel kenapa internet malam nya scam?!!! cuma bisa buka apps dari google sperti youtube, google play store. UNTUK AKSES LAIN SEPERTI KE WEBSITE2 DILUAR GOOGLE ,SPEEDNYA 0.008 KBPS","@telkomsel why his night internet scam? !!! can only open apps from google just as youtube, google play store. FOR ACCESS TO OTHER SUCH WEBSITE2 BEYOND GOOGLE, speednya 0008 KBPS"
3,2021-02-28 02:48:34 SE Asia Standard Time,322996897,evenighx,@classyvirgoo @Telkomsel mau ganti tapi orang kantor pake ini semua🙄 berasa percuma pny hp sebagus apapun jg kalo sinyal internet gini terus. ga guna mo ngapa2in ga bisa ajg kesel dr kemarin,@classyvirgoo @Telkomsel but the office would replace the use of this semua🙄 pny hp useless taste as good as any jg kalo gini internet signal continues. use mo ga ga ajg ngapa2in kesel dr yesterday
4,2021-02-28 00:22:17 SE Asia Standard Time,85573935,abdirifki,Habis nonton kingsman ngerilah kalau ada yg ngasi simcard bisa nelpon dan internet gratis dah betul pake telkomsel 🥶,Kingsman watch ngerilah depleted if no reply ngasi can simcard calling and free internet use Telkomsel true dah 🥶
5,2021-02-27 23:22:09 SE Asia Standard Time,855662774491336704,billysmbring366,"Dear @Telkomsel saya ingin lapor.. Bahwa signal/jaringan internet dan menelfon @Telkomsel kadang terputus tiba2 di desa lenggadai hilir, kecamatan rimba melintang, kabupaten Rokan hilir, provinsi Riau.. Kami pengusaha sawit merasa terganggu CC @jokowi @PerekonomianRI @kemkominfo","Dear @Telkomsel I want to report .. That signal / internet network and phoned @Telkomsel sometimes disconnected tiba2 in lenggadai downstream village, district transverse jungle, downstream Rokan district, Riau province .. We CPO entrepreneurs feel disturbed CC @jokowi @PerekonomianRI @kemkominfo"
6,2021-02-27 22:11:23 SE Asia Standard Time,1358968385011281921,belitarseberang,"Sedihnya tinggal di desa pelosok, mau update info saat pemerintah sedang gencar gencarnya sosialisasi via daring. Jangankan berharap ada koneksi @IndiHome, sinyal @IndosatOoredoo atau @Telkomsel  : harus keluar rumah dulu  br bisa dpt koneksi internet. @kemkominfo help us pls","Sadly live in remote villages, want to update the information when the government is aggressively vigorous socialization via online. Instead of hoping there @IndiHome connection, signal @IndosatOoredoo or @Telkomsel: should exit first home can be interchangeable br internet connection. @kemkominfo help us pls"
7,2021-02-27 21:11:11 SE Asia Standard Time,1331794422468493312,mobilseva,Cara mengaktifkan paketan internet harian telkomsel cek di  https://t.co/ezAqd5IZis #telkomsel #paketinternet #paketharian #pakettermurah,How to activate daily internet paketan telkomsel check in https://t.co/ezAqd5IZis #telkomsel #paketinternet #paketharian #pakettermurah
8,2021-02-27 20:34:11 SE Asia Standard Time,1363008185334829057,badboyy300,@Telkomsel Halo Min Kenapa Internet Saya Lemot banget ya,Hello @Telkomsel Min Why Internet I Lemot really yes
9,2021-02-27 20:14:20 SE Asia Standard Time,1005622669,risnamuliana,"Halo min @Telkomsel semangat malam, apakah telkomsel sekarang tidak bisa terpakai untuk internet nya jika listrik padam? Karena setiap listrik padam paket internet tidak bisa di gunakan, mohoh bantuan nya ya min. Terima kasih :)","Hello min @Telkomsel spirit of the night, whether telkomsel now unusable for its internet if the power goes out? Due to power outages every internet packet can not be used, his assistance mohoh yes min. Thank you :)"
