,created_at,user_id,username,tweet,english
0,2020-08-31 06:20:23 SE Asia Standard Time,1075673058931806208,indihome,"@dov_Now @Telkomsel @KemenBUMN @TelkomCare @erickthohir Malam Sobat, setelah Donny cek jaringan sedang Down ya, silakan informasikan nomor handphone aktif nya melalui DM guna menjga data pribadi Kaka -Donny","@dov_Now @Telkomsel @KemenBUMN @TelkomCare @erickthohir Night Friend, after the network is Down Donny check yes, please inform its active mobile phone number via DM to menjga personal data Kaka -Donny"
1,2020-08-31 06:17:10 SE Asia Standard Time,85263951,ellandairiyanni,"@Telkomsel Tolong cek dm. Jaringan saya masih singtel, padahal sudah aktif paket roamax malaysia  https://t.co/JinGsgQfyx","@Telkomsel Please check dm. I still SingTel's network, but already active roamax package malaysia https://t.co/JinGsgQfyx"
2,2020-08-31 06:06:02 SE Asia Standard Time,85263951,ellandairiyanni,@Telkomsel roaming partner di malaysia apa? Udah beli roaming malaysia tp malah masi jaringan singtel,@Telkomsel roaming partner in malaysia what? Already even buy roaming malaysia tp masi SingTel network
3,2020-08-31 06:03:51 SE Asia Standard Time,1218517259573792771,damaitanpa,"Gerak cepat selalu di buktikan @telkomsel untuk memperkuat jaringan, karena sangat dibutuhkan anak-anak yang masih sekolah.   https://t.co/8zMGsobi6n","Fast motion @telkomsel always proven to strengthen the network, because it is required of children who are still in school. https://t.co/8zMGsobi6n"
4,2020-08-31 03:28:34 SE Asia Standard Time,1075673058931806208,indihome,"@somedh @Telkomsel Halo Kak Kendal, maaf ya Kak setelah dicek pada nomor internet Kakak permeliharaan jaringan di lokasi estimasi waktu adalah hingga tanggl 31 Agustus 20 20 . Namun akan diusahakan agar segera solved ya Kak. Terima kasih  -Sunny","@somedh @Telkomsel Kendal Hello Kak, Kak ya sorry after checking the network permeliharaan Brother Internet number in the location estimated time is up tanggl August 31 20 20. However, it will be endeavored that Kak ya soon be solved. Thanks -Sunny"
5,2020-08-31 02:36:17 SE Asia Standard Time,1139916627112108033,fikrirahmat16,Mahasiswa UNM Nikmati Jaringan Internet 4G Telkomsel untuk Kuliah Daring di Banggai Sulawesi Tengah  https://t.co/x9bUIQ6kCN,"UNM Students Enjoy Telkomsel 4G Internet Network for Online Lectures in Banggai, Central Sulawesi https://t.co/x9bUIQ6kCN"
6,2020-08-31 01:22:21 SE Asia Standard Time,1296708687218659328,bayumustanir,@Telkomsel POTONG LEHER SAYA KALO DENGAN SAYA MENGIRIM DATA YG KAMU MINTA SEPERTI YANG SUDAH2 DAN BISA SELESAIKAN MASALAH JARINGAN DI TEMPAT SAYA.,@Telkomsel KALO CUT MY NECK WITH ME ASK YOU SENDING DATA WHICH SUCH SUDAH2 AND CAN RESOLVE THE PROBLEM OF NETWORK IN MY PLACE.
7,2020-08-31 00:14:27 SE Asia Standard Time,324857680,rianbello,@Telkomsel jaringan labuan bajo sangat buruk. Apa penyebabnya?,Labuan Bajo network @Telkomsel very bad. What caused it?
8,2020-08-30 23:48:40 SE Asia Standard Time,1146860706358124545,aridanhada,"@myXLCare apa tidak kesal mendapatkan keluhan tentang sinyal???? mana yang katanya 4.5G?? mana yg katanya internet stabil? tolonglah xl,aku pengguna lama xl sangat kecewa dengan sering terjadinya hilang sinyal! semskin kesini makin hancur jaringan nya! pindah ke @Telkomsel  aja kali ya?","@myXLCare what annoyed not get complaints about the signal ???? which he said 4.5g ?? Where stable internet that he said? please xl, xl long-time user I was very disappointed with the frequent occurrence of missing signal! semskin increasingly shattered his network here! moved to @Telkomsel aja times yes?"
9,2020-08-30 23:11:08 SE Asia Standard Time,1230863277002981397,r_kive201904,"@indomyfess Maaf, kalo kartu yg kuota nya murah apa ya,aku pake Telkomsel mahal banget elah tapi jaringan nya bagus","@indomyfess Sorry, if his quota of card's what ya, I use very expensive Telkomsel elah but he has a good network"
