,created_at,user_id,username,tweet,english
0,2021-01-30 10:22:11 SE Asia Standard Time,1026136315,davidsudarko,"Saya posting screenshot SMS ini khusus untuk @telkomsel @telkomindonesia Adakah upaya dari pihak Perusahaan untuk menangkal segala bentuk SMS seperti ini? Terus terang saja, sangat menggangu kenyamanan. Karena hampir setiap hari selalu ada yang masuk di inbox.  https://t.co/QsA5Fnibis","I am posting this SMS screenshots on @telkomsel @telkomindonesia there efforts of the Company to counteract any form of SMS like this? Frankly, very disturbing comfort. Because almost every day there is always a sign in the inbox. https://t.co/QsA5Fnibis"
1,2021-01-30 04:56:53 SE Asia Standard Time,187603897,alpri_y,"@Telkomsel Saya beli combo sakti 25 gb unlimited sosmed,kouta utama habis kecepatan di kurangin parah, sosmed lelet mengganggu kenyamanan pelanggan tidak sesuai promo","@Telkomsel I bought 25 gb unlimited magic combo sosmed, the main quota in kurangin severely depleted pace, slow sosmed disturbing customer comfort is not appropriate promo"
2,2021-01-29 23:29:57 SE Asia Standard Time,1342179349802315776,xierenchen08,@Dilla280395 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : jpsahabatkartu. org * WhatsApp : +855886427216  https://t.co/VIy0O3Nka1,@ Dilla280395 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: jpsahabatkartu. org * WhatsApp: +855886427216 https://t.co/VIy0O3Nka1
3,2021-01-28 23:14:39 SE Asia Standard Time,1342179349802315776,xierenchen08,@yantirahmi7 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : jpsahabatkartu. org * WhatsApp : +855886427216  https://t.co/EPaFLXKP9F,@ Yantirahmi7 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: jpsahabatkartu. org * WhatsApp: +855886427216 https://t.co/EPaFLXKP9F
4,2021-01-28 22:41:17 SE Asia Standard Time,1337038743245647879,sihalohotording,@Telkomsel benar benar tidak memberikan kenyamanan pengguna/pelangan nya.sudah berlarut² lemahnya koneksi internet di wilayah kami.seakan tidak ada niat yg serius untuk memperbaiki nya. @rawajituselatan @rawajitutimur @tulangbawang @lampung,@Telkomsel really did not leave the comfort of the user / subscriber nya.sudah berlarut² weak internet connection in the area kami.seakan no serious intention to fix his mouth. @rawajituselatan @rawajitutimur @tulangbawang @lampung
5,2021-01-21 22:37:06 SE Asia Standard Time,1342179349802315776,xierenchen08,@Oliv56410301 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : jpsahabatkartu. org * WhatsApp : +855886427216  https://t.co/jUzjzr7uNt,@ Oliv56410301 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: jpsahabatkartu. org * WhatsApp: +855886427216 https://t.co/jUzjzr7uNt
6,2021-01-20 23:58:49 SE Asia Standard Time,1342179349802315776,xierenchen08,@rondogalak2 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : jpsahabatkartu. org * WhatsApp : +855886427216  https://t.co/5ST6lWSyIr,@ Rondogalak2 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: jpsahabatkartu. org * WhatsApp: +855886427216 https://t.co/5ST6lWSyIr
7,2021-01-20 07:48:36 SE Asia Standard Time,28939941,enroe_r,@Telkomsel @telkomsel peningkatan kualitas layanan aplikasi MyTelkomsel dengan mengorbankan kenyamanan Penguna?,@Telkomsel @telkomsel MyTelkomsel application service quality improvement at the expense of comfort The user?
8,2021-01-20 03:18:33 SE Asia Standard Time,131339009,aseantypahlevi,"Dukung Kelancaran Komunikasi, Telkomsel Bebaskan Telepon dan SMS untuk Pelanggan yang Terdampak Bencana Banjir di Kalimantan Selatan: INIBORNEO, Banjarmasin (19/01/21) – Telkomsel terus berupaya dalam memberikan pelayanan yang maksimal agar kenyamanan…  https://t.co/nYvzdlGJnM  https://t.co/XBCV2WBFrx","Support Smooth Communication, Telkomsel Phone and SMS Deliver to Customers Affected by Floods in South Kalimantan: INIBORNEO, Banjarmasin (01/19/21) - Telkomsel will continue to strive in order to provide maximum service comfort ... https://t.co/nYvzdlGJnM https://t.co/XBCV2WBFrx"
9,2021-01-19 21:03:40 SE Asia Standard Time,1307683833966329857,rakyat_pemimpin,"Keren!!  Seiring dengan pemulihan jaringan di wilayah tersebut, guna memberikan kenyamanan komunikasi para pelanggan yang terdampak bencana wilayah Kabupaten Majene dan Kabupaten Mamuju, Telkomsel menghadirkan paket khusus  Jokowi Bantu Korban Gempa  https://t.co/iYHyvqBMZ7","Awesome !! Along with the restoration of the network in the region, in order to give customers the convenience of communication affected by the disaster area Majene and Mamuju, Telkomsel presents a special package https://t.co/iYHyvqBMZ7 Jokowi Help Earthquake Victims"
10,2021-01-19 19:34:11 SE Asia Standard Time,1345401908844847105,pdombleh,"Telkomsel mengadakan pemulihan jaringan di wilayah bencana Kabupaten Majene &amp; Kabupaten Mamuju,utk memberikan kenyamanan komunikasi para pelanggan yg  terdampak bencana wilayah Kabupaten Majene &amp; Kabupaten Mamuju. @ulinyusron @MurtadhaOne1 @Aan_Hantorov   https://t.co/YtNOM3cTBW","Telkomsel entered into the network recovery in the disaster area Majene & amp; Mamuju, to provide customers the convenience of communication that the disaster affected region of Majene & amp; Mamuju. @ulinyusron @ MurtadhaOne1 @Aan_Hantorov https://t.co/YtNOM3cTBW"
11,2021-01-19 18:07:27 SE Asia Standard Time,1314646959982964737,dusapanlandu,"Guna memberikan kenyamanan komunikasi para pelanggan yang terdampak bencana wilayah Kabupaten Majene dan Kabupaten Mamuju Telkomsel Pulihkan Jaringan Telepon &amp; SMS  Pelayanan tersebut dibuat dalam bentuk paket khusus.  Terimakasih @Telkomsel , Jokowi Tanggap Bencana  https://t.co/wli7zjwt9M","In order to provide customers the convenience of communication affected by the disaster area Majene and Mamuju Telkomsel Restore Network Phones & amp; The SMS service is made in the form of a special package. Thank @Telkomsel, Jokowi Disaster Response https://t.co/wli7zjwt9M"
12,2021-01-19 15:40:11 SE Asia Standard Time,798478258119405568,balipuspanews,"Beri Kenyamanan Telekomunikasi, Telkomsel Bebaskan Paket Nelpon dan SMS  https://t.co/jPGIuA4Ktg","Give Comfort Telecommunications, Telkomsel Exempt Calls and SMS Package https://t.co/jPGIuA4Ktg"
13,2021-01-18 00:45:48 SE Asia Standard Time,1342179349802315776,xierenchen08,@bundalistiana Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : jpsahabatkartu. org * WhatsApp : +855886427216  https://t.co/HxYsMDrbpH,@bundalistiana Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: jpsahabatkartu. org * WhatsApp: +855886427216 https://t.co/HxYsMDrbpH
14,2021-01-16 23:06:48 SE Asia Standard Time,1342179349802315776,xierenchen08,@tansusi5 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : jpsahabatkartu. org * WhatsApp : +855886427216  https://t.co/cAow223bFR,@ Tansusi5 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: jpsahabatkartu. org * WhatsApp: +855886427216 https://t.co/cAow223bFR
15,2021-01-12 22:13:14 SE Asia Standard Time,3195998996,linkaja,"Hai kalian para pengguna KartuHALO! Ada kabar gembira nih ☺ Sekarang, bayar tagihan #PakeLinkAja ada CASHBACK 10RB*  Tinggal klik fitur “Telekomunikasi” kemudian pilih menu Pascabayar dan pilih Telkomsel. Gampang kan? Yuk, nikmati kenyamanan bertransaksi sekarang juga.  https://t.co/Xe9yAlq1D7","Hey, you KartuHALO users! There is good news ya ☺ Now, pay bills #PakeLinkAja No CashBack feature 10k * Just click the ""Telecommunications"" and then select the menu and select Telkomsel postpaid. It's easy? Come, enjoy the convenience of transacting now. https://t.co/Xe9yAlq1D7"
16,2021-01-12 20:57:50 SE Asia Standard Time,1342179349802315776,xierenchen08,@mbakmica Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01. org * WhatsApp : +855886427216  https://t.co/QhCjPEHLUD,@mbakmica Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01. org * WhatsApp: +855886427216 https://t.co/QhCjPEHLUD
17,2021-01-11 11:52:30 SE Asia Standard Time,1100594526,_hastyo1996_,@Telkomsel Pokoknya telkomsel pertahankan jaringan internet lancar demi kenyamanan pelanggan indonesia,Anyway @Telkomsel telkomsel maintain current Internet network for the convenience of customers Indonesia
18,2021-01-09 19:40:11 SE Asia Standard Time,229630802,ripkoben,"Dpt sms sisa kuota anda 100MB, ga lama sms lg sisa 10MB, terakhir kuota anda telah habis  Sy cek d mytelkomsel internet msh ada 11GB  Bisakah @Telkomsel berbisnis dgn jujur? Setidaknya jgn mengurangi kenyamanan pelanggan","Dpt your sms quota of 100MB, long sms ga lg rest of 10MB, you have exhausted the quota last check Sy msh existing internet mytelkomsel d 11GB Can @Telkomsel do business with honest? At least jgn reduce customer convenience"
19,2021-01-06 16:46:42 SE Asia Standard Time,81051297,abikkk,"Menurutku Veronika cocok banget jadi Pramugari. Karena dari awal sampai akhir Veronika sangat handal memberikan informasi yg sangat detail, kenyamanan komunikasi serta menjaga keamanan &amp; keselamatan maksimal pada setiap pengguna layanannya. @Telkomsel  #TanyaVeronikaDiDuniaNyata  https://t.co/oa7kilbfqg","Veronika think fits really so stewardess. Because from the beginning to the end is very reliable Veronika provides a very detailed information, the convenience of communication and maintaining security & amp; maximum safety at every user of its services. @Telkomsel #TanyaVeronikaDiDuniaNyata https://t.co/oa7kilbfqg"
20,2021-01-05 09:16:55 SE Asia Standard Time,338842530,ahmad_riqqi,"@Telkomsel Mohon ditindaklanjuti kak, untuk kenyamanan pelanggan dan pengguna telkomsel yg lain","@Telkomsel We followed kak, for the convenience of customers and other users reply telkomsel"
21,2021-01-04 19:31:01 SE Asia Standard Time,1116639302148968449,husnifhrzl,"@Telkomsel Benerin dulu tuh jaringan. Katanya stabil seluruh indonsia, mana??? Makin lama bukannya bagus marah MAKIN JELEK BANGET.. Jangan mikirin untung doang tapi liat kenyamanan pengguna.","@Telkomsel first benerin tuh network. He said stable throughout Indonsia, where ??? The longer the good instead of angry MORE SO UGLY .. Do not thinking about profit doang but wiry user convenience."
22,2021-01-01 13:27:00 SE Asia Standard Time,268951826,aanapras,Hai @Telkomsel makin hari kok banyak nomor-nomor yang tidak jelas menelpon ya. Mengganggu kenyamanan.  https://t.co/cPKvi2oXGt,Hi @Telkomsel more days that lots of numbers that are not clear call ya. Disruptive comfort. https://t.co/cPKvi2oXGt
