,created_at,user_id,username,tweet,english
0,2020-11-29 21:08:55 SE Asia Standard Time,1277223984627515392,giyogaa,@Telkomsel  sinyal mulai kemarin kok gak enak yaaaaa Bisa di stabilkan gak sih..... ((Mengganggu kenyamanan)),@Telkomsel signal began yesterday really not good at stabilizing yaaaaa Can not you think ..... ((Interrupting convenience))
1,2020-11-27 12:46:54 SE Asia Standard Time,4200694752,ari3pras,Terima kasih @pertamina  Tolong hadiah saya disalurkan utk CSR UMKM tapi jangan ke UMKM milik kadrun.  Kpd @Telkomsel sampai kapan MEMBIARKAN GANGGUAN TERHADAP KENYAMANAN PELANGGAN??  @erickthohir @kemkominfo  https://t.co/nsdc8bM296,Thanks @pertamina Please gift me channeled For SMEs CSR but do not belong kadrun to SMEs. TO WHOM IT MAY LET @Telkomsel until when INTERFERENCE ON CUSTOMER CONVENIENCE ?? @erickthohir @kemkominfo https://t.co/nsdc8bM296
2,2020-11-26 18:49:31 SE Asia Standard Time,832010772368666624,riennuriwayati,No ini bisa tlp smp 14 x sehari..@kemkominfo ada apa dg @Telkomsel..?  koq bisa ya no pasca bayar sy mash direbetin dg telemarketing abal2 ini...sedang no sy dg provider lain bersih dr sampah telemarketing penipu ini..tolong dong jaga data n kenyamanan pengguna @Telkomsel  https://t.co/6522JUXH7C,No. smp can phone 14 times a day .. @ kemkominfo what @Telkomsel dg ..? koq can ya no postpaid sy mash direbetin dg abal2 telemarketing is ... being no other providers clean sy dg dr garbage telemarketing fraudsters ini..tolong dong case n data @Telkomsel user comfort https://t.co/6522JUXH7C
3,2020-11-22 20:08:29 SE Asia Standard Time,191358786,wahyouwahyono,"Dear @Telkomsel , saya terima sms penawaran seperti ini banyak sekali hari ini. Ini sangat mengganggu sekali. Apakah sekarang kenyamanan pelanggan tidak menjadi perhatian dari @Telkomsel ?hal² seperti ini selalu berulang, mohon perhatiannya  https://t.co/K9JKZdiNZb","Dear @Telkomsel, I received an sms offers like this a lot today. This is very disturbing. Is now the customer convenience is not a concern of @Telkomsel? Hal² like these are always recurring, attention please https://t.co/K9JKZdiNZb"
4,2020-11-21 22:32:31 SE Asia Standard Time,1286682599461490689,dawampra,"@Telkomsel Tolong jangan diulangi kembali, mengganggu kenyamanan pelanggan itu dosa besar","@Telkomsel Please do not repeated, disturbing the comfort of customers is a great sin"
5,2020-11-18 11:21:04 SE Asia Standard Time,759692754985242625,kumparan,"Dalam kolaborasi ini, Gojek dan Telkomsel akan bersama memperkuat layanan digitalnya, mendorong inovasi dan produk baru serta meningkatkan kenyamanan bagi pengguna dan pelaku UMKM. #publisherstory  https://t.co/qMM1oXak4U","In this collaboration, Gojek and Telkomsel will together strengthen its digital service, encourage innovation and new products and improve comfort for users and SMEs. #publisherstory https://t.co/qMM1oXak4U"
6,2020-11-17 20:40:39 SE Asia Standard Time,1323816047846199299,rizz54802956,@Telkomsel  Kok sekarang gini ya Telkomsel jaringan nya lelet banget padahal udah 4g tolong benerin sinyal Telkomsel nya min demi kenyamanan kita semua.,@Telkomsel Kok gini ya Telkomsel network now its slow buildup but already 4g please benerin his Telkomsel signal min for the convenience of all of us.
7,2020-11-17 20:10:10 SE Asia Standard Time,865429020,hellopitaa,"@myXLCare males bgt, dicek terus seminggu kemudian baru dikabarin mending ganti @telkomsel. Tp telkomsel sampah bgt banyak sms spam. Kalian ini yah provider ga kasih kenyamanan bgt","@myXLCare lazy bgt, rechecked week later the new dikabarin @telkomsel mending dressing. Tp garbage telkomsel bgt many sms spam. These guys love the convenience ga yah provider bgt"
8,2020-11-17 10:03:47 SE Asia Standard Time,1581930512,the_djohan,"@Telkomsel Bisa hentikan sms yg begian? 2 nomer saya yg notabene nomor halo bisa dpt spam sampah begini yg dikirim berulang2? Setiap hari lagi, kenyamanan terganggu,! Bgmana ini @kemkominfo @aduanBRTI @YLKI_ID @OmbudsmanRI137 cc bang @alvinlie21  https://t.co/7SchdEX4Pz","Can @Telkomsel begian stop sms reply? 2 My number who incidentally halo numbers could interchangeable spam being sent berulang2 like this garbage? Every day again, undisturbed comfort ,! This Bgmana @kemkominfo @aduanBRTI @YLKI_ID @ OmbudsmanRI137 cc bang @ alvinlie21 https://t.co/7SchdEX4Pz"
9,2020-11-16 21:35:53 SE Asia Standard Time,63430427,alfipatria,"@Telkomsel halo, kenapa ya sebulan ini saya ga bisa mengakses yugioh duel links dari quota telkomsel? padahal pake wifi bisa, bahkan in app purchase aja juga ga bisa. kerjanya apa sih? bikin konten ga mutu, kualitas dan kenyamanan makin menurun.","@Telkomsel hello, I wonder why this month I can not access the links from the quota yugioh duel Telkomsel? whereas use wifi, so even in app purchase also just can not. his what? ga make quality content, quality and comfort decline."
