,created_at,user_id,username,tweet,english
0,2020-07-31 04:36:02 SE Asia Standard Time,2265057168,marwanjuna,@Telkomsel Peningkatan layanan sistem blm selesai??? Sdh 1x24 jam nih. Cek dm min.,Improved @Telkomsel pp complete system service ??? Sdh nih 1x24 hours. Check dm min.
1,2020-07-30 23:39:15 SE Asia Standard Time,859443145259364352,nafisahtanjung,Direktur Utama @Telkomsel Setyanto Hantoro buka-bukaan soal kinerja Telkomsel di tengah pandemi virus Corona (COVID-19). Saat ini penggunaan jasa untuk layanan konektivitas relatif landai.    https://t.co/shQbXxsngF,Director of @Telkomsel Setyanto Hantoro open-opener about the performance of Telkomsel in Corona virus pandemic (COVID-19). Currently the use of services for relatively gentle connectivity services. https://t.co/shQbXxsngF
2,2020-07-30 22:50:01 SE Asia Standard Time,604545114,frdsfdn,"@Telkomsel Katanya layanan terbaik, Katanya Sudah 25th 😒","Said @Telkomsel best service, Say It 25th 😒"
3,2020-07-30 20:36:50 SE Asia Standard Time,1098869003685027845,astarte2017,"Dalam rangka memberikan pemerataan layanan ke wilayah 3T (Terdepan, Terluar &amp; Tertinggal), maka @Telkomsel memastikan 1083 unit BTS USO yang dikembangkan melalui kolaborasi BAKTI Kominfo, terkoneksi oleh jaringan broadband 4G LTE pada kuartal III 2020.  https://t.co/ICTWb1xXol","In order to provide equitable services to the territory of 3T (Frontier, Outermost & amp; Disadvantaged), then @Telkomsel ensure USO 1083 BTS units developed through collaboration BAKTI Administrator, connected by 4G LTE broadband network in the third quarter 2020. https://t.co / ICTWb1xXol"
4,2020-07-30 20:35:42 SE Asia Standard Time,845502806,shusidalthought,apakah masih peningkatan layanan sistem hehehe @Telkomsel,whether they increase hehehe system services @Telkomsel
5,2020-07-30 19:55:17 SE Asia Standard Time,1257063835019513857,mamasbaim,"@Telkomsel @IqbalGobel11 Peningkatan layanan mulu, bosen min.","@Telkomsel @ IqbalGobel11 Improvement mulu service, bored min."
6,2020-07-30 19:53:48 SE Asia Standard Time,1257063835019513857,mamasbaim,@Telkomsel @RiloTubagus Peningkatan layanan apa penurunan layanan,@Telkomsel @RiloTubagus what services Improved service reduction
7,2020-07-30 17:47:34 SE Asia Standard Time,872175115793858561,projonolsatu,Masyarakat di wilayah 3T diharapakan dapat segera menikmati layanan internet terdepan yang setara dengan kualitas jaringan di kota-kota besar.  #TerusBergerakMaju Bersama Indonesia! #IndonesiaMaju  @Telkomsel  https://t.co/FFyTbStmzV,3T people in the region is expected to soon enjoy a leading internet service which is equivalent to network quality in big cities. Together #TerusBergerakMaju Indonesia! #IndonesiaMaju @Telkomsel https://t.co/FFyTbStmzV
8,2020-07-30 17:47:29 SE Asia Standard Time,872175115793858561,projonolsatu,Langkah ini sejalan dengan komitmen @Telkomsel untuk menghadirkan akses telekomunikasi dan layanan digital berkualitas hingga ke pelosok negeri yang dihadarapkan mampu menyokong perwujudan semangat #IndonesiaMaju.  https://t.co/6s7Dpdx00D,This step is in line with the commitment @Telkomsel to bring access to telecommunications and digital services quality in all over the country is able to support the embodiment of the spirit dihadarapkan #IndonesiaMaju. https://t.co/6s7Dpdx00D
9,2020-07-30 17:37:16 SE Asia Standard Time,2265057168,marwanjuna,@Telkomsel Peningkatan sistem layanan blm slsai kah min? Ksian bat dah kuota emak gua 😂😂,Improved @Telkomsel p slsai service system kah min? Ma quota Ksian dah bat cave 😂😂
10,2020-07-30 15:24:12 SE Asia Standard Time,2582818064,yonialeeee,Katanya @Telkomsel kemarin TSEL-DirumahAja. Lalu Tsel-PakaiMasker. Sekarang TSEL-Tiada Layanan.,He said yesterday TSEL-DirumahAja @Telkomsel. Then Tsel-PakaiMasker. Now TSEL-None Service.
11,2020-07-30 14:59:30 SE Asia Standard Time,255988023,kiknovr,@IGNASIUSSSS Bagus nya relatif dgn tempat. 11-12 sama Telkomsel karena masih anak usahanya Telkom juga itu By U. Sekian info layanan masyarakat..,Good @IGNASIUSSSS his relative with a place. 11-12 at Telkomsel because they Telkom's subsidiary By U. A few community service info ..
12,2020-07-30 14:24:58 SE Asia Standard Time,2912475188,supriyanto0802,"@Telkomsel Mohon info pulsa telkomsel perhari  selalu berkurang, mohon langanan layanan apapun di unreg kan min Terima kasih","@Telkomsel Please info telkomsel daily pulse always decreases, please subscriptions are any services in unreg kan min Thanks"
13,2020-07-30 13:01:28 SE Asia Standard Time,1239412567031906305,aqshalfauzan10,Semangat selalu dalam meningkatkan kualitas layanan seluruh produk telkomsel.,The spirit is always in improving the quality of service throughout the product Telkomsel.
14,2020-07-30 12:56:39 SE Asia Standard Time,2438141006,keponewsdotcom,Telkomsel perkuat layanan di wilayah 3T agar Indonesia merdeka sinyal  https://t.co/EsC9SYM3Ka,Telkomsel strengthen services in the areas 3T signal that Indonesia's independence https://t.co/EsC9SYM3Ka
15,2020-07-30 10:19:37 SE Asia Standard Time,101046706,santriwati_,"Menurut Vice President Prepaid Consumer Telkomsel Adhi Putranto, penyediaan Paket Ilmupedia e-Learning Session ini merupakan bagian dari konsistensi Telkomsel dalam menghadirkan pemanfaatan solusi layanan digital.","According to Vice President of Consumer Prepaid Telkomsel Adhi Putranto, the provision of e-Learning Package Ilmupedia Session is part of a consistency Telkomsel in presenting the utilization of digital services solutions."
16,2020-07-30 08:00:25 SE Asia Standard Time,81806050,panoramakp,"Punya janji ketemuan sama temen tiba-tiba pulsa dia abis di tengah jalan? Gak perlu panik, langsung aja gunain layanan #TelkomselTransferPulsa. Bisa kirim pulsa ke sesama Telkomsel cuma lewat *858# atau aplikasi…  https://t.co/RVOIUEHh1w","Had an appointment to meet with friends suddenly he abis pulse in the middle of the street? No need to panic, immediately wrote gunain #TelkomselTransferPulsa services. Can send pulses to fellow Telkomsel only via * 858 # or application ... https://t.co/RVOIUEHh1w"
17,2020-07-30 07:08:11 SE Asia Standard Time,355791752,abieb_nr,@IndosatCare Indosat masih ada layanan tranfer pulsa kesemua operator gak? Mau transfer pulsa ke telkomsel kok menunya udah gak bisa.mohon infonya,@IndosatCare Indosat still pulses everyone tranfer service operators do not? Want to transfer balance to telkomsel why the menu already not bisa.mohon INFO
